"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking",Frequency,"Amount spent (MXN)",Ends,"Estimated ad recall lift rate","Link clicks","Result rate","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)"
2022-05-08,2022-05-08,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",900,estimated_ad_recallers,4700,5017,0.0348,"Below average - Bottom 35% of ads",1.067447,31.32,2022-05-10,19.148936,5,17.939007374925,5,0.219255,0.106383
2022-05-09,2022-05-09,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",820,estimated_ad_recallers,4080,4312,0.032036585365854,"Below average - Bottom 35% of ads",1.056863,26.27,2022-05-10,20.098039,7,19.016697588126,7,0.301484,0.171569
2022-05-07,2022-05-07,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",790,estimated_ad_recallers,4061,4357,0.037392405063291,"Below average - Bottom 35% of ads",1.072888,29.54,2022-05-10,19.453337,5,18.131742024329,5,0.160661,0.123122
2022-05-09,2022-05-09,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",820,estimated_ad_recallers,3705,3954,0.033231707317073,-,1.067206,27.25,2022-05-10,22.132254,8,20.738492665655,7,0.202327,0.188934
2022-05-08,2022-05-08,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",760,estimated_ad_recallers,3597,3874,0.036394736842105,-,1.077009,27.66,2022-05-10,21.128718,7,19.617965926691,7,0.309757,0.194607
2022-05-09,2022-05-09,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",650,estimated_ad_recallers,3380,3594,0.035076923076923,"Below average - Bottom 35% of ads",1.063314,22.8,2022-05-10,19.230769,5,18.085698386199,5,0.194769,0.147929
2022-05-05,2022-05-05,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",590,estimated_ad_recallers,3218,3399,0.032389830508475,-,1.056246,19.11,2022-05-10,18.334369,8,17.35804648426,8,0.411886,0.248602
2022-05-06,2022-05-06,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",590,estimated_ad_recallers,3135,3367,0.036203389830508,"Below average - Bottom 35% of ads",1.074003,21.36,2022-05-10,18.819777,2,17.523017523018,2,0.2376,0.063796
2022-05-08,2022-05-08,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",520,estimated_ad_recallers,2951,3119,0.036865384615385,Average,1.05693,19.17,2022-05-10,17.621145,3,16.672010259699,3,0.256492,0.10166
2022-05-06,2022-05-06,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",480,estimated_ad_recallers,2739,2925,0.039416666666667,-,1.067908,18.92,2022-05-10,17.524644,7,16.410256410256,6,0.410256,0.219058
