"Reporting starts","Reporting ends","Ad name",Age,"Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking",Frequency,"Amount spent (MXN)",Ends,"Estimated ad recall lift rate","Link clicks","Result rate","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)"
2022-04-20,2022-05-19,Julie_Serpent_Red,45-54,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1880,estimated_ad_recallers,9900,13109,0.043292553191489,-,1.324141,81.39,2022-05-10,18.989899,14,14.341292241971,14,0.236479,0.141414
2022-04-20,2022-05-19,Julie_Serpent_Nude,45-54,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1580,estimated_ad_recallers,8936,10979,0.043329113924051,-,1.228626,68.46,2022-05-10,17.681289,29,14.391110301485,28,0.382549,0.313339
2022-04-20,2022-05-19,Julie_Dark,45-54,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1720,estimated_ad_recallers,8204,10538,0.042122093023256,-,1.284495,72.45,2022-05-10,20.965383,23,16.321882710192,21,0.275195,0.255973
2022-04-20,2022-05-19,Julie_Serpent_Nude,35-44,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1060,estimated_ad_recallers,6520,7982,0.046047169811321,-,1.224233,48.81,2022-05-10,16.257669,8,13.279879729391,8,0.212979,0.122699
2022-04-20,2022-05-19,Julie_Serpent_Red,35-44,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1010,estimated_ad_recallers,5860,7313,0.045445544554455,-,1.247952,45.9,2022-05-10,17.235495,7,13.811021468618,7,0.164091,0.119454
2022-04-20,2022-05-19,Nadine_Negro,45-54,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1050,estimated_ad_recallers,5756,7422,0.052647619047619,-,1.289437,55.28,2022-05-10,18.241835,22,14.147130153597,22,0.336836,0.38221
2022-04-20,2022-05-19,Julie_Dark,35-44,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1060,estimated_ad_recallers,5472,6775,0.043896226415094,-,1.238121,46.53,2022-05-10,19.371345,16,15.645756457565,16,0.309963,0.292398
2022-04-20,2022-05-19,Julie_Cafe,45-54,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",790,estimated_ad_recallers,4580,5312,0.042632911392405,-,1.159825,33.68,2022-05-10,17.248908,9,14.871987951807,9,0.301205,0.196507
2022-04-20,2022-05-19,Noelle_Vino,45-54,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",560,estimated_ad_recallers,3260,3902,0.047642857142857,-,1.196933,26.68,2022-05-10,17.177914,11,14.351614556638,11,0.333162,0.337423
2022-04-20,2022-05-19,Nadine_Negro,35-44,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",480,estimated_ad_recallers,2966,3617,0.0534375,-,1.219488,25.65,2022-05-10,16.183412,7,13.270666298037,7,0.221178,0.236008
