"Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Amount spent (MXN)","Estimated ad recall lift rate","Link clicks","Result rate",Frequency,"Clicks (all)","Reporting starts","Reporting ends","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)"
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",260,estimated_ad_recallers,995,1104,0.025730769230769,-,6.69,26.130653,2,23.550724637681,1.109548,2,2022-05-04,2022-05-04,2,0.181159,0.201005
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",90,estimated_ad_recallers,347,374,0.025111111111111,-,2.26,25.936599,1,24.064171122995,1.07781,1,2022-05-04,2022-05-04,1,0.26738,0.288184
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",30,estimated_ad_recallers,126,138,0.024,-,0.72,23.809524,,21.739130434783,1.095238,0,2022-05-04,2022-05-04,,0,0
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",80,estimated_ad_recallers,340,348,0.01775,-,1.42,23.529412,,22.988505747126,1.023529,0,2022-05-03,2022-05-03,,0,0
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",210,estimated_ad_recallers,899,988,0.026809523809524,Average,5.63,23.359288,2,21.255060728745,1.098999,2,2022-05-04,2022-05-04,2,0.202429,0.222469
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",820,estimated_ad_recallers,3697,3946,0.033182926829268,-,27.21,22.180146,8,20.780537252914,1.067352,8,2022-05-09,2022-05-09,7,0.202737,0.189343
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",760,estimated_ad_recallers,3597,3874,0.036394736842105,-,27.66,21.128718,7,19.617965926691,1.077009,12,2022-05-08,2022-05-08,7,0.309757,0.194607
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",410,estimated_ad_recallers,1945,2099,0.03880487804878,-,15.91,21.079692,11,19.533111005241,1.079177,12,2022-05-07,2022-05-07,10,0.571701,0.514139
Julie_Cafe,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",60,estimated_ad_recallers,285,308,0.0275,-,1.65,21.052632,1,19.480519480519,1.080702,1,2022-05-04,2022-05-04,1,0.324675,0.350877
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",130,estimated_ad_recallers,619,661,0.031538461538462,-,4.1,21.001616,2,19.667170953101,1.067851,4,2022-05-09,2022-05-09,2,0.605144,0.323102
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",420,estimated_ad_recallers,2001,2183,0.039238095238095,-,16.48,20.989505,5,19.239578561612,1.090955,7,2022-05-06,2022-05-06,5,0.32066,0.249875
Julie_Dark,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",410,estimated_ad_recallers,1976,2102,0.030317073170732,-,12.43,20.748988,4,19.505233111323,1.063765,6,2022-05-05,2022-05-05,4,0.285442,0.202429
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",250,estimated_ad_recallers,1216,1305,0.03512,-,8.78,20.559211,,19.157088122605,1.073191,0,2022-05-05,2022-05-05,,0,0
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",270,estimated_ad_recallers,1327,1439,0.038407407407407,-,10.37,20.346647,3,18.763029881862,1.084401,3,2022-05-09,2022-05-09,3,0.208478,0.226074
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",50,estimated_ad_recallers,247,264,0.031,-,1.55,20.242915,,18.939393939394,1.068826,0,2022-05-04,2022-05-04,,0,0
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",820,estimated_ad_recallers,4062,4289,0.03190243902439,"Below average - Bottom 35% of ads",26.16,20.1871,7,19.118675681977,1.055884,13,2022-05-09,2022-05-09,7,0.303101,0.172329
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",40,estimated_ad_recallers,200,208,0.0225,-,0.9,20,1,19.230769230769,1.04,1,2022-05-03,2022-05-03,1,0.480769,0.5
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",130,estimated_ad_recallers,652,684,0.034538461538462,-,4.49,19.93865,,19.005847953216,1.04908,0,2022-05-08,2022-05-08,,0,0
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",440,estimated_ad_recallers,2218,2442,0.043795454545455,-,19.27,19.837692,8,18.018018018018,1.100992,8,2022-05-08,2022-05-08,8,0.3276,0.360685
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",380,estimated_ad_recallers,1924,2104,0.044789473684211,-,17.02,19.75052,5,18.060836501901,1.093555,5,2022-05-07,2022-05-07,5,0.237643,0.259875
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",110,estimated_ad_recallers,562,596,0.038181818181818,-,4.2,19.572954,2,18.456375838926,1.060498,2,2022-05-06,2022-05-06,2,0.33557,0.355872
Nadine_Negro,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",400,estimated_ad_recallers,2056,2265,0.045425,-,18.17,19.455253,10,17.66004415011,1.101654,12,2022-05-06,2022-05-06,10,0.529801,0.486381
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",790,estimated_ad_recallers,4061,4357,0.037392405063291,"Below average - Bottom 35% of ads",29.54,19.453337,5,18.131742024329,1.072888,7,2022-05-07,2022-05-07,5,0.160661,0.123122
Julie_Rose_Gold,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",40,estimated_ad_recallers,207,224,0.0295,-,1.18,19.323671,,17.857142857143,1.082126,0,2022-05-04,2022-05-04,,0,0
Julie_Serpent_Nude,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",650,estimated_ad_recallers,3376,3588,0.035,"Below average - Bottom 35% of ads",22.75,19.253555,5,18.115942028986,1.062796,7,2022-05-09,2022-05-09,5,0.195095,0.148104
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",900,estimated_ad_recallers,4700,5017,0.0348,"Below average - Bottom 35% of ads",31.32,19.148936,5,17.939007374925,1.067447,11,2022-05-08,2022-05-08,5,0.219255,0.106383
Noelle_Vino,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",90,estimated_ad_recallers,476,503,0.039666666666667,-,3.57,18.907563,3,17.892644135189,1.056723,3,2022-05-07,2022-05-07,3,0.596421,0.630252
Julie_Serpent_Red,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",590,estimated_ad_recallers,3135,3367,0.036203389830508,"Below average - Bottom 35% of ads",21.36,18.819777,2,17.523017523018,1.074003,8,2022-05-06,2022-05-06,2,0.2376,0.063796
