"Ad name",Region,"Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Amount spent (MXN)","Estimated ad recall lift rate","Link clicks","Result rate",Frequency,"Clicks (all)","Reporting starts","Reporting ends","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)"
Nadine_Negro,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,1,1,,-,0,100,,100,1,0,2022-05-01,2022-05-10,,0,0
Nadine_Negro,California,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",10,estimated_ad_recallers,28,37,0.032044132397192,-,0.320441,35.714286,,27.027027027027,1.321429,0,2022-05-01,2022-05-10,,0,0
Julie_Rose_Gold,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,3,3,,-,0,33.333333,,33.333333333333,1,0,2022-05-01,2022-05-10,,0,0
Julie_Cafe,California,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",10,estimated_ad_recallers,34,35,0.027026362038664,-,0.270264,29.411765,,28.571428571429,1.029412,0,2022-05-01,2022-05-10,,0,0
Nadine_Negro,"Michoacán de Ocampo",active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,4,8,0.040055165496489,-,0.040055,25,,12.5,2,0,2022-05-01,2022-05-10,,0,0
Noelle_Vino,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,4,4,0.02013797428661,-,0.020138,25,,25,1,0,2022-05-01,2022-05-10,,0,0
Julie_Serpent_Red,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,4,4,0.010005442388431,-,0.010005,25,,25,1,0,2022-05-01,2022-05-10,,0,0
Julie_Dark,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,4,6,0.020024630541872,-,0.020025,25,,16.666666666667,1.5,0,2022-05-01,2022-05-10,,0,0
Julie_Rose_Gold,"Michoacán de Ocampo",active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,4,4,0.020009823182711,-,0.02001,25,,25,1,0,2022-05-01,2022-05-10,,0,0
Julie_Cafe,"Michoacán de Ocampo",active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,4,6,0.050048818590119,-,0.050049,25,,16.666666666667,1.5,0,2022-05-01,2022-05-10,,0,0
Julie_Cafe,Unknown,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",1,estimated_ad_recallers,4,4,0.020019527436048,-,0.02002,25,,25,1,0,2022-05-01,2022-05-10,,0,0
Julie_Serpent_Nude,California,active,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",10,estimated_ad_recallers,44,44,0.028029893238434,-,0.280299,22.727273,,22.727272727273,1,0,2022-05-01,2022-05-10,,0,0
