"Reporting starts","Reporting ends","Campaign name",Platform,"Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (MXN)",Ends,"Estimated ad recall lift rate",Frequency,"Unique link clicks","Link clicks","CPC (cost per link click) (MXN)"
2022-04-20,2022-04-20,Abril_Awareness_35+,Uncategorized,active,"Using ad set budget",0,"7-day click or 1-day view",,,0,0,,0,2022-04-23,0,0,,,
2022-04-20,2022-04-20,Abril_Awareness_35+,Instagram,active,"Using ad set budget",0,"7-day click or 1-day view",1,estimated_ad_recallers,8,8,0.07,0.07,2022-04-23,12.5,1,,,
2022-04-20,2022-04-20,Abril_Awareness_35+,Facebook,active,"Using ad set budget",0,"7-day click or 1-day view",320,estimated_ad_recallers,5988,6463,0.15809375,50.59,2022-04-23,5.344021,1.079325,16,16,3.161875
2022-04-20,2022-04-20,Abril_Maddy_35+,Uncategorized,active,"Using ad set budget",0,"7-day click or 1-day view",,,0,0,,0,2022-04-23,0,0,,,
2022-04-20,2022-04-20,Abril_Maddy_35+,Messenger,active,"Using ad set budget",0,"7-day click or 1-day view",,,9,11,,0.01,2022-04-23,0,1.222222,,,
2022-04-20,2022-04-20,Abril_Maddy_35+,Instagram,active,"Using ad set budget",0,"7-day click or 1-day view",,,24,24,,0.97,2022-04-23,0,1,,,
2022-04-20,2022-04-20,Abril_Maddy_35+,Facebook,active,"Using ad set budget",0,"7-day click or 1-day view",7,actions:link_click,1323,1653,7.11,49.77,2022-04-23,0,1.249433,7,7,7.11
2022-04-19,2022-04-19,Abril_Awareness_35+,Uncategorized,active,"Using ad set budget",0,"7-day click or 1-day view",,,0,0,,0,2022-04-23,0,0,,,
2022-04-19,2022-04-19,Abril_Awareness_35+,Instagram,active,"Using ad set budget",0,"7-day click or 1-day view",,,1,1,,0,2022-04-23,0,1,,,
2022-04-19,2022-04-19,Abril_Awareness_35+,Facebook,active,"Using ad set budget",0,"7-day click or 1-day view",320,estimated_ad_recallers,6140,6998,0.16090625,51.49,2022-04-23,5.211726,1.139739,14,14,3.677857
2022-04-19,2022-04-19,Abril_Maddy_35+,Uncategorized,active,"Using ad set budget",0,"7-day click or 1-day view",,,0,0,,0,2022-04-23,0,0,,,
2022-04-19,2022-04-19,Abril_Maddy_35+,Messenger,active,"Using ad set budget",0,"7-day click or 1-day view",1,actions:link_click,534,592,3.52,3.52,2022-04-23,0,1.108614,1,1,3.52
2022-04-19,2022-04-19,Abril_Maddy_35+,Instagram,active,"Using ad set budget",0,"7-day click or 1-day view",,,8,8,,0.37,2022-04-23,0,1,,,
2022-04-19,2022-04-19,Abril_Maddy_35+,Facebook,active,"Using ad set budget",0,"7-day click or 1-day view",21,actions:link_click,1349,1722,2.1985714285714,46.17,2022-04-23,0,1.276501,19,21,2.198571
2022-04-18,2022-04-18,Abril_Awareness_35+,Uncategorized,active,"Using ad set budget",0,"7-day click or 1-day view",,,0,0,,0,2022-04-23,0,0,,,
2022-04-18,2022-04-18,Abril_Awareness_35+,Instagram,active,"Using ad set budget",0,"7-day click or 1-day view",1,estimated_ad_recallers,2,2,0,0,2022-04-23,50,1,,,
2022-04-18,2022-04-18,Abril_Awareness_35+,Facebook,active,"Using ad set budget",0,"7-day click or 1-day view",370,estimated_ad_recallers,6358,7367,0.14094594594595,52.15,2022-04-23,5.81944,1.158698,21,22,2.370455
2022-04-18,2022-04-18,Abril_Maddy_35+,Uncategorized,active,"Using ad set budget",0,"7-day click or 1-day view",,,0,0,,0,2022-04-23,0,0,,,
2022-04-18,2022-04-18,Abril_Maddy_35+,Messenger,active,"Using ad set budget",0,"7-day click or 1-day view",,,35,36,,0.13,2022-04-23,0,1.028571,,,
2022-04-18,2022-04-18,Abril_Maddy_35+,Facebook,active,"Using ad set budget",0,"7-day click or 1-day view",15,actions:link_click,1602,1808,3.54,53.1,2022-04-23,0,1.128589,14,15,3.54
2022-04-17,2022-04-17,Abril_Awareness_35+,Uncategorized,active,"Using ad set budget",0,"7-day click or 1-day view",,,0,0,,0,2022-04-23,0,0,,,
2022-04-17,2022-04-17,Abril_Awareness_35+,Facebook,active,"Using ad set budget",0,"7-day click or 1-day view",380,estimated_ad_recallers,6172,7165,0.13957894736842,53.04,2022-04-23,6.156837,1.160888,13,13,4.08
2022-04-17,2022-04-17,Abril_Maddy_35+,Uncategorized,active,"Using ad set budget",0,"7-day click or 1-day view",,,0,0,,0,2022-04-23,0,0,,,
2022-04-17,2022-04-17,Abril_Maddy_35+,Messenger,active,"Using ad set budget",0,"7-day click or 1-day view",,,144,152,,0.83,2022-04-23,0,1.055556,,,
2022-04-17,2022-04-17,Abril_Maddy_35+,Instagram,active,"Using ad set budget",0,"7-day click or 1-day view",,,2,2,,0.17,2022-04-23,0,1,,,
2022-04-17,2022-04-17,Abril_Maddy_35+,Facebook,active,"Using ad set budget",0,"7-day click or 1-day view",8,actions:link_click,1204,1413,6.46,51.68,2022-04-23,0,1.173588,8,8,6.46
